mmol	millimole
mmol	millimoles
nmol	nanomole
nmol	nanomoles
pmol	picomole
pmol	picomoles
μmol	micromole
μmol	micromoles
μmol	micro mole
mol	mole
μg	microgram
μg	micrograms
μg	micro gram
ug	microgram
mg	milligram
mg	milligrams
g	gram
g	grams
kg	kilogram
kg	kilograms
IU	international unit
IU	international units
IU	i u
mIU	milli international unit
mIU	milli international units
mIU	m i u
μIU	micro international unit
μIU	micro i u
KIU	kilo international unit
KIU	k i u
U	enzyme unit
fIU	femto international unit
pIU	pico international unit
nIU	nano international unit
fU	femto unit
pU	pico unit
nU	nano unit
μU	micro unit
mU	milli unit
KU	kilo unit
cells	cells
WBC	white blood cell
RBC	red blood cell
CFU	colony forming unit
PFU	plaque forming unit
RU	relative unit
TU	therapeutic unit
BU	bethesda unit
EU	endotoxin unit
PEIU	platelet equivalent international unit
mEq	milliequivalent
mEq	milliequivalents
μEq	microequivalent
μEq	microequivalents
Eq	equivalent
Eq	equivalents
mAU	milli absorbance unit
AU	absorbance unit
mOsm	milliosmole
mOsm	milliosmoles
Osm	osmole
Osm	osmoles
SFC	spot forming cell
SFCs	spot forming cells
